epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.898,3.70329,3.49391,3.33614,0.61023,0.22109,0.23061,0.09006,2.76291,2.58506,2.37377,0.00332911,0.00332911,0.00332911
2,515.562,2.13327,1.63812,1.80181,0.5503,0.52706,0.52011,0.2586,1.94587,1.51815,1.69881,0.00659648,0.00659648,0.00659648
3,788.324,1.68274,1.12049,1.44847,0.75869,0.62165,0.67542,0.37459,1.68274,1.18474,1.47418,0.00979786,0.00979786,0.00979786
4,1025.22,1.47071,0.88188,1.31018,0.7701,0.656,0.71395,0.4212,1.52543,0.9943,1.35689,0.009703,0.009703,0.009703
5,1264.76,1.35421,0.78264,1.23042,0.75322,0.69762,0.72708,0.43812,1.48635,0.97489,1.32627,0.009604,0.009604,0.009604
6,1501.83,1.2895,0.72865,1.19078,0.79261,0.68836,0.73912,0.46099,1.41111,0.9003,1.27426,0.009505,0.009505,0.009505
7,1738.76,1.25543,0.69716,1.16836,0.78614,0.72248,0.76388,0.46764,1.41443,0.88969,1.27207,0.009406,0.009406,0.009406
8,1974.47,1.22788,0.67798,1.15095,0.78258,0.71354,0.75436,0.46913,1.40345,0.86738,1.26122,0.009307,0.009307,0.009307
9,2210.57,1.20103,0.65627,1.13693,0.81087,0.69666,0.75949,0.47305,1.38771,0.85013,1.25713,0.009208,0.009208,0.009208
10,2446.35,1.18652,0.64168,1.12703,0.7794,0.71514,0.76424,0.47918,1.39454,0.84134,1.26178,0.009109,0.009109,0.009109
11,2681.77,1.17142,0.63499,1.1225,0.78101,0.71436,0.762,0.47426,1.39158,0.82785,1.25219,0.00901,0.00901,0.00901
12,2917.5,1.15414,0.62064,1.11109,0.76585,0.74464,0.77306,0.49017,1.3559,0.81681,1.23291,0.008911,0.008911,0.008911
13,3152.79,1.13957,0.61047,1.10564,0.76773,0.73403,0.7655,0.48455,1.36778,0.81329,1.24304,0.008812,0.008812,0.008812
14,3388.5,1.13297,0.60163,1.101,0.78452,0.7272,0.76946,0.48166,1.36807,0.81056,1.24323,0.008713,0.008713,0.008713
15,3631.93,1.11623,0.59494,1.09223,0.79654,0.74031,0.77411,0.48804,1.37498,0.80968,1.24449,0.008614,0.008614,0.008614
16,3867.7,1.11591,0.59063,1.09363,0.78606,0.72533,0.76913,0.48747,1.36706,0.80048,1.24378,0.008515,0.008515,0.008515
